Grade,Age,Gender,Programming,Programing Extent,Father Ed.,Mother Ed.,Computer Home,Internet Home,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean
7,12,M,Y,A little bit,HS,HS,N,N,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3,1,2,3,5,2.8
7,12,M,Y,A little bit,College,College,Y,Y,0,0,0,0,0,0,0,0,5,4,5,6,5,7,5,5.3,1,1,1,1,1,1,1.0,3,3,4,5,5,4
7,13,M,Y,A little bit,College,College,Y,Y,1,1,0,0,1,0,3,50,5,4,5,4,5,2,3,4.0,5,5,4,4,3,4,4.2,4,2,1,1,1,1.8
7,12,M,Y,Some,Idk,Idk,Y,Y,1,1,1,0,1,0,4,67,7,6,7,7,7,7,6,6.7,7,6,6,7,7,7,6.7,7,5,5,7,5,5.8
7,13,F,Y,Some,High School,College,Y,Y,1,1,0,0,1,0,3,50,5,2,4,4,2,3,2,3.1,3,1,2,3,4,2,2.5,1,1,2,1,1,1.2
7,12,M,Y,A lot,"Cook, Engineer, CPR",Cloths,Y,Y,0,1,1,1,1,0,4,67,4,3,3,4,3,2,3,3.1,6,2,4,5,3,2,3.7,6,7,5,6,7,6.2
7,13,M,Y,Some,"College, Police","College, OT",Y,Y,1,0,1,1,1,0,4,67,6,6,6,6,6,6,6,6.0,5,4,5,5,3,4,4.3,5,5,4,5,5,4.8
7,13,F,Y,Some,College  business,College  law,Y,Y,0,0,0,0,1,0,1,17,7,7,6,7,7,7,7,6.9,7,7,7,7,7,7,7.0,7,4,7,7,5,6
7,13,M,N,,College,College,Y,Y,0,1,0,0,1,0,2,33,3,1,6,1,2,1,1,2.1,2,1,2,1,1,5,2.0,3,3,4,3,2,3
7,12,M,Y,Some,Doctorate degree,Doctorate degree,Y,Y,1,0,0,1,1,1,4,67,6,4,6,5,6,7,7,5.9,5,4,1,5,3,6,4.0,4,3,5,6,5,4.6
7,12,M,Y,Some,College Engineer,HS,Y,Y,1,1,0,1,1,0,4,67,6,6,6,6,6,6,6,6.0,6,2,6,2,1,4,3.5,6,5,7,7,7,6.4
