,Grade,Age,Gender,Programming,ProgramingExtent,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,DBN_Total_N,DBN_POMP_N,Test,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean,Int_Mean_1,Val_Mean_1,Exp_Mean_1,DBN_POMP_0,DBN_POMP_17,DBNandNoTest,Int_Mean_1R,PerfAndControl
1,7,13,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,0,0,0,4,4,6,NA,1,1,1,2.8,4,3,2,2,1,1,2.2,4,5,2,4,7,4.4,2.8,2.2,4.4,NA,NA,0,2.2,0
2,6,12,1,0,0,,,NA,NA,NA,NA,NA,NA,0,0,0,3,3,2,2,3,4,4,3,4,4,4,4,4,4,4,3,5,4,4,4,4,3,4,4,NA,NA,0,3.4,0
3,6,11,1,0,0,,,NA,NA,NA,NA,NA,NA,8,38,0,3,3,3,1,3,2,3,2.6,2,2,2,2,3,1,2,3,3,2,3,3,2.8,2.6,2,2.8,NA,NA,0,2.8,0
4,6,12,1,0,0,,,NA,NA,NA,NA,NA,NA,11,52,0,3,3,3,3,3,2,2,2.7,2,2,2,2,1,2,1.8,1,1,2,2,2,1.6,2.7,1.8,1.6,NA,NA,0,2.6,0
5,6,12,1,0,0,,,NA,NA,NA,NA,NA,NA,8,38,0,7,1,4,1,1,1,1,2.3,1,1,1,1,1,1,1,4,1,4,1,4,2.8,2.3,1,2.8,NA,NA,0,2.2,0
6,6,11,1,0,0,,,NA,NA,NA,NA,NA,NA,14,67,0,3,2,5,2,2,2,2,2.6,3,4,1,3,2,4,2.8,5,4,5,6,6,5.2,2.6,2.8,5.2,NA,NA,0,2.2,0
7,6,11,1,0,0,,,NA,NA,NA,NA,NA,NA,13,62,0,2,1,6,3,1,2,1,2.3,1,1,1,1,2,2,1.3,1,1,1,1,1,1,2.3,1.3,1,NA,NA,0,1.4,0
8,7,13,0,0,0,,,NA,NA,NA,NA,NA,NA,5,24,0,4,3,3,3,3,3,5,3.4,6,3,5,NA,4,2,4,7,7,7,7,4,6.4,3.4,4,6.4,NA,NA,0,3.6,0
9,7,13,1,0,0,,,NA,NA,NA,NA,NA,NA,7,33,0,1,1,7,7,1,7,7,4.4,1,1,1,1,1,1,1,1,1,4,4,4,2.8,4.4,1,2.8,NA,NA,0,3.4,0
10,7,12,0,0,0,,,NA,NA,NA,NA,NA,NA,16,76,0,1,2,7,NA,5,2,4,3.5,7,4,1,4,3,1,3.3,1,1,1,2,1,1.2,3.5,3.3,1.2,NA,NA,0,2.8,0
11,6,12,1,0,0,,,NA,NA,NA,NA,NA,NA,12,57,0,7,1,2,1,2,1,1,2.1,1,1,2,1,2,1,1.3,1,1,1,1,1,1,2.1,1.3,1,NA,NA,0,2.4,0
12,6,11,1,0,0,,,NA,NA,NA,NA,NA,NA,0,0,0,3,2,6,4,2,1,NA,3,1,2,2,1,2,1,1.5,2,1,1,3,1,1.6,3,1.5,1.6,NA,NA,0,NA,0
13,7,12,0,0,0,,,NA,NA,NA,NA,NA,NA,7,33,0,6,5,2,2,6,7,6,4.9,2,1,1,3,2,3,2,1,2,3,3,4,2.6,4.9,2,2.6,NA,NA,0,6,0
14,7,15,1,1,3,,,NA,NA,NA,NA,NA,NA,0,0,0,6,4,3,2,4,3,3,3.6,4,NA,5,3,5,2,3.8,4,3,3,5,4,3.8,3.6,3.8,3.8,NA,NA,0,4,0
15,6,12,1,1,1,,,NA,NA,NA,NA,NA,NA,0,0,0,1,1,7,7,1,1,1,2.7,4,1,1,5,2,3,2.7,1,2,1,1,2,1.4,2.7,2.7,1.4,NA,NA,0,1,0
